Level,Date and Time,Source,Event ID,Task Category
Information,12/10/2019 1:55:54 PM,Service Control Manager,7036,None,The domain1 GlassFish Server service entered the running state.
Information,12/10/2019 1:55:54 PM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the running state.
Information,12/10/2019 1:55:54 PM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Application Host Helper Service service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Cryptographic Services service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Print Spooler service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Security Accounts Manager service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Workstation service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Windows Firewall service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Base Filtering Engine service entered the running state.
Information,12/10/2019 1:55:52 PM,Service Control Manager,7036,None,The Task Scheduler service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Shell Hardware Detection service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The DHCP Client service entered the running state.
Information,12/10/2019 1:55:51 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,12/10/2019 1:55:51 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Network Store Interface Service service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The System Event Notification Service service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The COM+ Event System service entered the running state.
Information,12/10/2019 1:55:51 PM,Service Control Manager,7036,None,The Group Policy Client service entered the running state.
